question,answer,intent,page_link
"What is the Professional Master’s in System Administration, Security, and Cloud Computing?|Qu'est-ce que le Mastère Professionnel en Administration des Systèmes, Sécurité et Cloud Computing ?","This 2-year Master’s program focuses on cloud infrastructure, cybersecurity, and system administration, with courses like Cloud Architecture and Ethical Hacking. It’s ideal for IT professionals. Discover the curriculum online.|Ce programme de Mastère de 2 ans se concentre sur l'infrastructure cloud, la cybersécurité et l'administration des systèmes, avec des cours comme l'Architecture Cloud et le Hacking Éthique. Il est idéal pour les professionnels de l'informatique. Découvrez le curriculum en ligne.","system_administration","https://isetsf.rnu.tn/fr/formation/mastere-professionnel/administration-des-systemes-securite-et-cloud-computing-asscc"
"What is the Professional Master’s in Software and Network Systems Development?|Qu'est-ce que le Mastère Professionnel en Développement des Systèmes Informatiques et Réseaux ?","This 2-year program trains experts in software development and network management, with courses like Advanced Programming and Network Protocols. Graduates work as developers or network engineers. Learn more on our website.|Ce programme de 2 ans forme des experts en développement logiciel et gestion de réseaux, avec des cours comme la Programmation Avancée et les Protocoles de Réseaux. Les diplômés travaillent comme développeurs ou ingénieurs réseaux. En savoir plus sur notre site.","software_networks","https://isetsf.rnu.tn/fr/formation/mastere-professionnel/developpement-des-systemes-informatiques-et-reseaux-dsir"
"What is the Professional Master’s in Industrial Process Instrumentation?|Qu'est-ce que le Mastère Professionnel en Instrumentation des Processus et Procédés Industriels ?,This 2-year Master’s focuses on automation, control systems, and industrial instrumentation, with courses like Process Control and Sensor Technology. Graduates work in manufacturing and automation. Visit our page for details.|Ce Mastère de 2 ans se concentre sur l'automatisation, les systèmes de contrôle et l'instrumentation industrielle, avec des cours comme le Contrôle des Processus et la Technologie des Capteurs. Les diplômés travaillent dans la fabrication et l'automatisation. Visitez notre page pour plus de détails.","industrial_instrumentation","https://isetsf.rnu.tn/fr/formation/mastere-professionnel/instrumentation-des-processus-et-procedes-industriels-ippi"
"What is the Professional Master’s in Innovation and Supply Chain Management?|Qu'est-ce que le Mastère Professionnel en Innovation et Gestion de la Chaîne d'Approvisionnement ?","This 2-year program develops expertise in logistics, procurement, and innovation, with courses like Supply Chain Optimization and Innovation Management. It’s perfect for logistics professionals. Explore the program online.|Ce programme de 2 ans développe une expertise en logistique, approvisionnement et innovation, avec des cours comme l'Optimisation de la Chaîne d'Approvisionnement et la Gestion de l'Innovation. Il est parfait pour les professionnels de la logistique. Découvrez le programme en ligne.","supply_chain","https://isetsf.rnu.tn/fr/formation/mastere-professionnel/innovation-et-supply-chain-management-iscm"
"What is the Professional Master’s in Integrated Quality, Safety, and Environmental Management?|Qu'est-ce que le Mastère Professionnel en Management Intégré Qualité, Sécurité, Santé au Travail et Environnement ?","This 2-year Master’s teaches integrated management systems for quality, safety, and sustainability, with courses like ISO Standards and Risk Management. Graduates work in compliance and safety roles. Learn more on our website.|Ce Mastère de 2 ans enseigne les systèmes de management intégré pour la qualité, la sécurité et la durabilité, avec des cours comme les Normes ISO et la Gestion des Risques. Les diplômés travaillent dans des rôles de conformité et de sécurité. En savoir plus sur notre site.","integrated_management","https://isetsf.rnu.tn/fr/formation/mastere-professionnel/management-integre-qualite-securite-sante-au-travail-et-environnement-miqsse"
"What is the distance learning National License in Computer Technology?|Qu'est-ce que la Licence Nationale en Technologie de l'Informatique à distance ?","This 3-year distance learning program offers flexibility for IT students, covering programming and networking via online platforms. It’s ideal for working professionals. Visit our page for enrollment details.|Ce programme de 3 ans en apprentissage à distance offre une flexibilité pour les étudiants en informatique, couvrant la programmation et les réseaux via des plateformes en ligne. Il est idéal pour les professionnels en activité. Visitez notre page pour les détails d'inscription.","distance_it_license","https://isetsf.rnu.tn/fr/formation/formation-continue-a-distance/licence-nationale/technologie-de-linformatique"
"What is the distance learning Professional Master’s in Software and Network Systems Development?|Qu'est-ce que le Mastère Professionnel en Développement des Systèmes Informatiques et Réseaux à distance ?","This 2-year distance Master’s trains software and network experts through online courses, covering topics like Cloud Development and Network Security. Learn more online.|Ce Mastère de 2 ans à distance forme des experts en logiciels et réseaux via des cours en ligne, couvrant des sujets comme le Développement Cloud et la Sécurité des Réseaux. En savoir plus en ligne.","distance_software_master","https://isetsf.rnu.tn/fr/formation/formation-continue-a-distance/mastere-professionnel/developpement-des-systemes-informatiques-et-reseaux-dsir"
"What is the distance learning Professional Master’s in Innovation and Supply Chain Management?|Qu'est-ce que le Mastère Professionnel en Innovation et Gestion de la Chaîne d'Approvisionnement à distance ?","This 2-year distance program focuses on logistics and innovation, with online courses like Supply Chain Analytics and Innovation Strategies. It’s designed for remote learners. Check the details on our website.|Ce programme de 2 ans à distance se concentre sur la logistique et l'innovation, avec des cours en ligne comme l'Analyse de la Chaîne d'Approvisionnement et les Stratégies d'Innovation. Il est conçu pour les apprenants à distance. Consultez les détails sur notre site.","distance_supply_chain","https://isetsf.rnu.tn/fr/formation/formation-continue-a-distance/mastere-professionnel/innovation-et-supply-chain-management-iscm"
"Who are the distinguished alumni of ISET?|Qui sont les lauréats distingués de l'ISET ?","Our alumni include leaders in tech, engineering, and business, such as award-winning engineers and startup founders. Visit our 'Distinguished Alumni' page to read their success stories and career paths.|Nos anciens élèves incluent des leaders en technologie, ingénierie et affaires, tels que des ingénieurs primés et des fondateurs de startups. Visitez notre page 'Lauréats' pour lire leurs histoires de succès et parcours professionnels.","alumni","https://isetsf.rnu.tn/fr/formation/laureats"
"How do I apply for a Professional Master’s program?|Comment postuler à un programme de Mastère Professionnel ?","Apply online via our portal by submitting your academic transcripts, a CV, and a motivation letter. Deadlines are typically in July for the fall semester. Check eligibility and steps on our Master’s application page.|Postulez en ligne via notre portail en soumettant vos relevés de notes, un CV et une lettre de motivation. Les dates limites sont généralement en juillet pour le semestre d'automne. Vérifiez l'éligibilité et les étapes sur notre page de candidature au Mastère.","master_application","https://isetsf.rnu.tn/fr/formation/candidature-en-mastere-professionnel"
"What is ISET’s quality management approach?|Quelle est l'approche de l'ISET en matière de management de la qualité ?","Our quality management approach follows ISO 9001 standards, ensuring excellence in teaching, research, and services. We conduct regular audits and student feedback surveys. Learn more on our 'Quality Approach' page.|Notre approche de management de la qualité suit les normes ISO 9001, garantissant l'excellence dans l'enseignement, la recherche et les services. Nous réalisons des audits réguliers et des enquêtes de satisfaction des étudiants. En savoir plus sur notre page 'Démarche Qualité'.","quality_management","https://isetsf.rnu.tn/fr/management-qualite/demarche-qualite"
"What is ISET’s quality policy?|Quelle est la politique qualité de l'ISET ?","Our quality policy commits to continuous improvement, student satisfaction, and industry alignment. It’s guided by our Quality Assurance Committee. Read the full policy on our website.|Notre politique qualité s'engage à l'amélioration continue, la satisfaction des étudiants et l'alignement avec l'industrie. Elle est guidée par notre Comité d'Assurance Qualité. Lisez la politique complète sur notre site.","quality_policy","https://isetsf.rnu.tn/fr/management-qualite/politique-qualite"
"What is ISET’s social responsibility approach?|Quelle est l'approche de l'ISET en matière de responsabilité sociétale ?","We promote sustainability through green campus initiatives, community outreach, and inclusive education. Recent projects include solar energy adoption and local charity drives. Learn more on our page.|Nous promouvons la durabilité à travers des initiatives de campus vert, des actions communautaires et une éducation inclusive. Les projets récents incluent l'adoption de l'énergie solaire et des campagnes caritatives locales. En savoir plus sur notre page.","social_responsibility","https://isetsf.rnu.tn/fr/management-qualite/responsabilite-societale"
"What is ISET’s strategic plan?|Quel est le plan stratégique de l'ISET ?","Our 2023-2028 strategic plan focuses on digital transformation, international partnerships, and employability. Key goals include expanding online learning and research centers. Explore the plan online.|Notre plan stratégique 2023-2028 met l'accent sur la transformation numérique, les partenariats internationaux et l'employabilité. Les objectifs clés incluent l'expansion de l'apprentissage en ligne et des centres de recherche. Découvrez le plan en ligne.","strategic_plan","https://isetsf.rnu.tn/fr/management-qualite/plan-strategique"
"How are complaints handled at ISET?|Comment les réclamations sont-elles traitées à l'ISET ?","Complaints are submitted via an online form and reviewed by our Quality Unit within 7 days. We ensure fair resolution and follow-up. Visit our 'Complaint Handling' page for the process.|Les réclamations sont soumises via un formulaire en ligne et examinées par notre Unité Qualité sous 7 jours. Nous garantissons une résolution équitable et un suivi. Visitez notre page 'Traitement des réclamations' pour le processus.","complaints","https://isetsf.rnu.tn/fr/management-qualite/traitement-des-reclamations"
"What is the Monitoring and Vigilance Unit at ISET?|Qu'est-ce que la Cellule de Suivi et de Veille à l'ISET ?","The Monitoring and Vigilance Unit oversees quality compliance and risk management, conducting regular assessments. It reports to the Quality Committee. Learn more on our website.|La Cellule de Suivi et de Veille supervise la conformité qualité et la gestion des risques, réalisant des évaluations régulières. Elle rend compte au Comité Qualité. En savoir plus sur notre site.","monitoring_unit","https://isetsf.rnu.tn/fr/management-qualite/cellule-de-suivi-et-de-veille-csv"
"What is the EPST at ISET?|Qu'est-ce que l'EPST à l'ISET ?","The EPST (Évaluation des Programmes et Structures de Formation) evaluates training programs to ensure they meet national standards. It supports accreditation efforts. Visit our page for details.|L'EPST (Évaluation des Programmes et Structures de Formation) évalue les programmes de formation pour garantir leur conformité aux normes nationales. Il soutient les efforts d'accréditation. Visitez notre page pour plus de détails.","epst","https://isetsf.rnu.tn/fr/management-qualite/epst"
"What accreditations does ISET hold?|Quelles accréditations l'ISET détient-il ?","ISET Sfax is accredited by the Tunisian Ministry of Higher Education and recognized by international bodies for select programs. Our engineering and IT degrees meet EU standards. Learn more on our 'Accreditation' page.|L'ISET Sfax est accrédité par le Ministère tunisien de l'Enseignement Supérieur et reconnu par des organismes internationaux pour certains programmes. Nos diplômes en ingénierie et informatique respectent les normes européennes. En savoir plus sur notre page 'Accréditation'.","accreditation","https://isetsf.rnu.tn/fr/management-qualite/accreditation"
"How does ISET combat plagiarism?|Comment l'ISET lutte-t-il contre le plagiat ?","We use Turnitin software and strict academic policies to detect and prevent plagiarism. Students receive training on academic integrity. Visit our page for our anti-plagiarism guidelines.|Nous utilisons le logiciel Turnitin et des politiques académiques strictes pour détecter et prévenir le plagiat. Les étudiants reçoivent une formation sur l'intégrité académique. Visitez notre page pour nos lignes directrices anti-plagiat.","plagiarism","https://isetsf.rnu.tn/fr/management-qualite/lutte-contre-le-plagiat"
"What is the PAQ-DGSE project at ISET?|Qu'est-ce que le projet PAQ-DGSE à l'ISET ?","The PAQ-DGSE project, funded by the Ministry, enhances governance, teaching, and research through four domains. It runs from 2023-2026. Learn about it on our project page.|Le projet PAQ-DGSE, financé par le Ministère, améliore la gouvernance, l'enseignement et la recherche à travers quatre domaines. Il se déroule de 2023 à 2026. En savoir plus sur notre page de projet.","paq_dgse","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-dgse/presentation-du-projet"
"What is the focus of Domain 1 in the PAQ-DGSE project?|Quel est l'objectif du Domaine 1 dans le projet PAQ-DGSE ?","Domain 1 improves institutional governance through better decision-making and transparency, including digital dashboards for management. Visit our page for details.|Le Domaine 1 améliore la gouvernance institutionnelle grâce à une meilleure prise de décision et transparence, incluant des tableaux de bord numériques pour la gestion. Visitez notre page pour plus de détails.","paq_dgse_domain1","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-dgse/domaine-1-gestion-et-gouvernance"
"What is the focus of Domain 2 in the PAQ-DGSE project?|Quel est l'objectif du Domaine 2 dans le projet PAQ-DGSE ?","Domain 2 enhances training programs and employability by aligning curricula with industry needs and expanding internships. Learn more on our website.|Le Domaine 2 améliore les programmes de formation et l'employabilité en alignant les curriculums sur les besoins de l'industrie et en élargissant les stages. En savoir plus sur notre site.","paq_dgse_domain2","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-dgse/domaine-2-formation-employabilite"
"What is the focus of Domain 3 in the PAQ-DGSE project?|Quel est l'objectif du Domaine 3 dans le projet PAQ-DGSE ?","Domain 3 promotes research and innovation through new labs and industry partnerships, focusing on AI and renewable energy. Visit our page for more information.|Le Domaine 3 promeut la recherche et l'innovation à travers de nouveaux laboratoires et partenariats industriels, en se concentrant sur l'IA et les énergies renouvelables. Visitez notre page pour plus d'informations.","paq_dgse_domain3","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-dgse/domaine-3-recherche-et-innovation"
"What is the focus of Domain 4 in the PAQ-DGSE project?|Quel est l'objectif du Domaine 4 dans le projet PAQ-DGSE ?","Domain 4 improves student life with better facilities, clubs, and mental health support, including a new student center. Learn more online.|Le Domaine 4 améliore la vie étudiante avec de meilleures installations, clubs et soutien à la santé mentale, incluant un nouveau centre étudiant. En savoir plus en ligne.","paq_dgse_domain4","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-dgse/domaine-4-vie-universitaire"
"What is the PAQ-COCO-ISCM project?|Qu'est-ce que le projet PAQ-COCO-ISCM ?","The PAQ-COCO-ISCM project supports supply chain innovation through training and research, focusing on logistics tech. It includes industry workshops. Visit our page for details.|Le projet PAQ-COCO-ISCM soutient l'innovation dans la chaîne d'approvisionnement à travers la formation et la recherche, en se concentrant sur la technologie logistique. Il inclut des ateliers industriels. Visitez notre page pour plus de détails.","paq_coco_iscm","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-coco-iscm/presentation-du-projet"
"What is the Creativity Lab in the PAQ-COCO-ISCM project?|Qu'est-ce que le Creativity Lab dans le projet PAQ-COCO-ISCM ?","The Creativity Lab fosters innovation with workshops, hackathons, and prototyping spaces for supply chain solutions. It’s open to students and professionals. Learn more on our website.|Le Creativity Lab favorise l'innovation avec des ateliers, des hackathons et des espaces de prototypage pour des solutions de chaîne d'approvisionnement. Il est ouvert aux étudiants et professionnels. En savoir plus sur notre site.","creativity_lab","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-coco-iscm/creativity-lab"
"What is the PAQ-4C project?|Qu'est-ce que le projet PAQ-4C ?","The PAQ-4C project enhances career services through job fairs, resume workshops, and industry networking events. It’s part of our 4C Center. Visit our page for more information.|Le projet PAQ-4C améliore les services de carrière à travers des salons de l'emploi, des ateliers de CV et des événements de réseautage industriel. Il fait partie de notre Centre 4C. Visitez notre page pour plus d'informations.","paq_4c","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-4c"
"What is the PAQ-PRICE project?|Qu'est-ce que le projet PAQ-PRICE ?","The PAQ-PRICE project funds research in cutting-edge fields like IoT and green tech, supporting faculty and student projects. Learn more online.|Le projet PAQ-PRICE finance la recherche dans des domaines de pointe comme l'IoT et les technologies vertes, soutenant les projets des professeurs et étudiants. En savoir plus en ligne.","paq_price","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-price"
"What is the PAQ-POST-PFE project?|Qu'est-ce que le projet PAQ-POST-PFE ?","The PAQ-POST-PFE project helps students transition to careers after final internships, offering job placement support and alumni mentoring. Visit our page for details.|Le projet PAQ-POST-PFE aide les étudiants à passer à la vie professionnelle après les stages de fin d'études, offrant un soutien à l'insertion professionnelle et un mentorat des anciens. Visitez notre page pour plus de détails.","paq_post_pfe","https://isetsf.rnu.tn/fr/projets-et-partenariats/paq/paq-post-pfe"
"How can companies create a professional account with ISET?|Comment les entreprises peuvent-elles créer un compte professionnel avec l'ISET ?","Companies can register for a professional account via our portal to access internship postings, recruitment tools, and partnership opportunities. Submit your company details and await approval within 48 hours. Visit our page for the process.|Les entreprises peuvent s'inscrire pour un compte professionnel via notre portail pour accéder aux offres de stages, outils de recrutement et opportunités de partenariat. Soumettez les détails de votre entreprise et attendez l'approbation sous 48 heures. Visitez notre page pour le processus.","professional_account","https://isetsf.rnu.tn/fr/entreprises/demande-de-compte-professionnel"
"What are industrial visits at ISET?|Que sont les visites industrielles à l'ISET ?","Industrial visits allow students to tour facilities like manufacturing plants and tech firms, gaining practical insights. Recent visits included Tunisie Telecom’s data center. Learn more on our website.|Les visites industrielles permettent aux étudiants de visiter des installations comme des usines et des entreprises technologiques, acquérant des connaissances pratiques. Les visites récentes incluent le centre de données de Tunisie Telecom. En savoir plus sur notre site.","industrial_visits","https://isetsf.rnu.tn/fr/entreprises/visites-industrielles"
"What services does the Technological Research Center offer?|Quels services offre le Centre de Recherche Technologique ?","The Technological Research Center provides R&D support, product testing, and consulting for industries like IT and engineering. Recent projects include AI-driven logistics solutions. Visit our page for details.|Le Centre de Recherche Technologique offre un soutien à la R&D, des tests de produits et des services de conseil pour des industries comme l'informatique et l'ingénierie. Les projets récents incluent des solutions logistiques basées sur l'IA. Visitez notre page pour plus de détails.","research_center_services","https://isetsf.rnu.tn/fr/entreprises/centre-de-recherche-technologique-crt/expertise-prestations"
"What training does the Technological Research Center provide?|Quelles formations propose le Centre de Recherche Technologique ?","The Center offers tailored training in AI, IoT, and advanced manufacturing for professionals. Programs range from 1-day workshops to 6-month courses. Learn more online.|Le Centre propose des formations sur mesure en IA, IoT et fabrication avancée pour les professionnels. Les programmes vont d'ateliers d'une journée à des cours de 6 mois. En savoir plus en ligne.","research_center_training","https://isetsf.rnu.tn/fr/entreprises/centre-de-recherche-technologique-crt/formations"
"How does ISET support industry partnerships?|Comment l'ISET soutient-il les partenariats avec l'industrie ?","We foster partnerships through joint R&D, technology transfer, and internship programs. Recent collaborations include a smart city project with a local tech firm. Visit our page for collaboration opportunities.|Nous favorisons les partenariats à travers la R&D conjointe, le transfert de technologie et les programmes de stages. Les collaborations récentes incluent un projet de ville intelligente avec une entreprise technologique locale. Visitez notre page pour les opportunités de collaboration.","industry_partnerships","https://isetsf.rnu.tn/fr/entreprises/partenariat-et-transfert-technologique"
